,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,run_type,model_name,task,holdout_number
0,0.3540959358215332,0.8182318806648254,0.3568492829799652,0.5901389718055725,0.8607245683670044,0.549139142036438,0.4447587728500366,0.6466651558876038,0.9364809989929199,0.6431507468223572,0.06351901590824127,0.3594476580619812,0.07279986143112183,0.05056067183613777,0.7454320192337036,0.1312074512243271,0.8503290414810181,0.4098609983921051,0.14967092871665955,0.2967154383659363,0.2859741449356079,0.6466651558876038,0.458901584148407,0.4404680132865906,5.617982864379883,0.6867738366127014,1.8301761150360107,train,tuned_FFNN,promoters,0
1,0.35259947180747986,0.8154377341270447,0.3581943213939667,0.5768470764160156,0.8629821538925171,0.5410631895065308,0.4419555068016052,0.6454200148582458,0.9326457381248474,0.6418057084083557,0.06735425442457199,0.35236236453056335,0.07308404892683029,0.05361165478825569,0.7423536777496338,0.13095059990882874,0.8500515818595886,0.423152893781662,0.14994841814041138,0.30247175693511963,0.2836603820323944,0.6454200148582458,0.454558402299881,0.42689865827560425,5.318057537078857,0.6881558299064636,1.8202378749847412,test,tuned_FFNN,promoters,0
0,0.3389795422554016,0.8236884474754333,0.6183669567108154,0.561653733253479,0.8695653676986694,0.537726640701294,0.5886474847793579,0.7473388910293579,0.8763108849525452,0.38163304328918457,0.12368913739919662,0.47766923904418945,0.12615138292312622,0.09845564514398575,0.6975370645523071,0.07785592973232269,0.8995916247367859,0.4383462369441986,0.10040834546089172,0.3090305030345917,0.41708043217658997,0.7473388910293579,0.5893285274505615,0.4612453579902649,4.999359607696533,0.43549954891204834,2.9578702449798584,train,FFNN,promoters,0
1,0.3403452932834625,0.8207438588142395,0.6278213858604431,0.5535366535186768,0.8682427406311035,0.5328044295310974,0.5883435010910034,0.7490091323852539,0.8701968193054199,0.3721786141395569,0.1298031508922577,0.4758848547935486,0.1280973106622696,0.10331881791353226,0.6926465630531311,0.07593733072280884,0.9011983871459961,0.44646334648132324,0.0988016128540039,0.31257274746894836,0.41677525639533997,0.7490091323852539,0.5895100831985474,0.45473504066467285,4.836715221405029,0.427694708108902,2.984208106994629,test,FFNN,promoters,0
0,0.37462326884269714,0.8164547681808472,0.32317036390304565,0.5918436050415039,0.8519721627235413,0.5410106182098389,0.4180620610713959,0.6330251693725586,0.9428800344467163,0.6768296360969543,0.0571199469268322,0.34076276421546936,0.065929114818573,0.045467060059309006,0.7505256533622742,0.13807819783687592,0.844612181186676,0.4081563949584961,0.15538780391216278,0.2959803640842438,0.2642720937728882,0.6330251693725586,0.43734005093574524,0.43645578622817993,5.657739639282227,0.717832088470459,1.724982500076294,train,tuned_FFNN,promoters,1
1,0.3762020766735077,0.8137357831001282,0.31084397435188293,0.5814594030380249,0.8532443046569824,0.5291951298713684,0.40511590242385864,0.6267445683479309,0.9426451325416565,0.6891560554504395,0.0573548823595047,0.3276984393596649,0.06342293322086334,0.04565250128507614,0.750312864780426,0.1406117081642151,0.8421732783317566,0.4185406267642975,0.1578267216682434,0.30047911405563354,0.2540096342563629,0.6267445683479309,0.4251389801502228,0.4236326813697815,5.419650554656982,0.7310873866081238,1.6791300773620605,test,tuned_FFNN,promoters,1
0,0.33803775906562805,0.8235132098197937,0.6521685719490051,0.557677149772644,0.8720793724060059,0.5541988015174866,0.6012328863143921,0.7597981095314026,0.8674276471138,0.3478314280509949,0.13257236778736115,0.4912676215171814,0.1330471634864807,0.1055266335606575,0.690466046333313,0.0709601491689682,0.9068062901496887,0.44232282042503357,0.09319373220205307,0.3107559382915497,0.4298305809497833,0.7597981095314026,0.6030750274658203,0.46448343992233276,4.919336318969727,0.4009917974472046,3.163163900375366,train,FFNN,promoters,1
1,0.3394148349761963,0.8213445544242859,0.6440137624740601,0.5534471869468689,0.8698558807373047,0.5417282581329346,0.5953055620193481,0.7554073333740234,0.866800844669342,0.35598626732826233,0.13319917023181915,0.48379242420196533,0.13140110671520233,0.1060219258069992,0.6899434328079224,0.0726335272192955,0.9047525525093079,0.4465528130531311,0.09524746984243393,0.3126116096973419,0.42379721999168396,0.7554073333740234,0.5970155596733093,0.45819973945617676,4.834964275360107,0.41068974137306213,3.0884287357330322,test,FFNN,promoters,1
0,0.3557277023792267,0.8141394853591919,0.29433777928352356,0.5890007615089417,0.8599547147750854,0.5421324968338013,0.3925226032733917,0.6208493709564209,0.9473609924316406,0.7056622505187988,0.05263902619481087,0.3218940496444702,0.06004705652594566,0.041900280863046646,0.7540923953056335,0.14396025240421295,0.8396973013877869,0.41099926829338074,0.16030268371105194,0.2972065210342407,0.2441854476928711,0.6208493709564209,0.4163714349269867,0.4286980628967285,5.591616153717041,0.7448714375495911,1.6374739408493042,train,tuned_FFNN,promoters,2
1,0.3593035936355591,0.8160884976387024,0.300785094499588,0.5980488061904907,0.8577367067337036,0.5421434640884399,0.40026119351387024,0.6244822144508362,0.9481793642044067,0.6992149353027344,0.05182063952088356,0.33062514662742615,0.06137057766318321,0.04124743491411209,0.7547179460525513,0.14266405999660492,0.8410218954086304,0.40195122361183167,0.15897807478904724,0.29332196712493896,0.25020408630371094,0.6244822144508362,0.4241275489330292,0.4390707015991211,5.804337978363037,0.7374289035797119,1.6629894971847534,test,tuned_FFNN,promoters,2
0,0.338004469871521,0.8265042901039124,0.5505797266960144,0.5785843133926392,0.8724015951156616,0.552485466003418,0.564234733581543,0.7239007949829102,0.8972218036651611,0.4494202733039856,0.10277817398309708,0.45622768998146057,0.11232228577136993,0.08181067556142807,0.7141820192337036,0.09168501943349838,0.886228084564209,0.42141568660736084,0.11377190053462982,0.3017033338546753,0.39298537373542786,0.7239007949829102,0.5644083619117737,0.46481239795684814,5.356966018676758,0.500901997089386,2.6218860149383545,train,FFNN,promoters,2
1,0.34416890144348145,0.8242979645729065,0.5498037338256836,0.5722675919532776,0.8680412173271179,0.5503168106079102,0.5608108043670654,0.7222322225570679,0.8946607112884521,0.4501962661743164,0.10533928871154785,0.45118916034698486,0.11217900365591049,0.08384642004966736,0.712118923664093,0.09185563027858734,0.8857480883598328,0.4277323782444,0.11425191164016724,0.30445173382759094,0.38967135548591614,0.7222322225570679,0.5609232187271118,0.45801568031311035,5.219355583190918,0.503203272819519,2.6001291275024414,test,FFNN,promoters,2
0,0.3519830107688904,0.8115363717079163,0.6722286939620972,0.5300377011299133,0.8556496500968933,0.5075879096984863,0.5927248001098633,0.7597342729568481,0.8472399115562439,0.32777130603790283,0.1527600884437561,0.4779936671257019,0.13713957369327545,0.12159591168165207,0.6743967533111572,0.06686773896217346,0.9097923636436462,0.4699622690677643,0.09020766615867615,0.3228150010108948,0.4211861491203308,0.7597342729568481,0.5969141721725464,0.43983006477355957,4.400548934936523,0.3868694603443146,3.162058115005493,train,tuned_FFNN,promoters,3
1,0.3543192744255066,0.8087300658226013,0.6680569052696228,0.5245617628097534,0.8528034090995789,0.5026068687438965,0.5876767039299011,0.7564232349395752,0.8447896242141724,0.3319430947303772,0.15521036088466644,0.4712657630443573,0.1363067477941513,0.12354207038879395,0.6724233031272888,0.06772788614034653,0.9084945321083069,0.47543826699256897,0.09150547534227371,0.32523950934410095,0.41610634326934814,0.7564232349395752,0.5919772982597351,0.4330562949180603,4.304200172424316,0.3929298222064972,3.1054816246032715,test,tuned_FFNN,promoters,3
0,0.3512535095214844,0.8238636255264282,0.45034047961235046,0.5894018411636353,0.8657457828521729,0.5666368007659912,0.5105717182159424,0.6849677562713623,0.9195950031280518,0.5496595501899719,0.08040501177310944,0.410971999168396,0.09187274426221848,0.06400179862976074,0.7319908738136292,0.11213456094264984,0.8671588897705078,0.41059815883636475,0.1328411102294922,0.2970334589481354,0.34279710054397583,0.6849677562713623,0.5152004361152649,0.45656073093414307,5.600893974304199,0.5977190732955933,2.1742775440216064,train,FFNN,promoters,3
1,0.35325613617897034,0.8234469890594482,0.44308143854141235,0.5896180272102356,0.8633913993835449,0.5655649900436401,0.5059531927108765,0.6820149421691895,0.9209483861923218,0.5569185614585876,0.07905162870883942,0.40716421604156494,0.0904039666056633,0.06292235851287842,0.7330430150032043,0.11363067477941513,0.8657916784286499,0.4103819727897644,0.13420835137367249,0.296957790851593,0.33864617347717285,0.6820149421691895,0.5111250281333923,0.4554097056388855,5.604956150054932,0.604722797870636,2.144801139831543,test,FFNN,promoters,3
0,0.36878177523612976,0.8007609248161316,0.055027298629283905,0.634819507598877,0.8560031652450562,0.5394726991653442,0.10127582401037216,0.5234572291374207,0.9918871521949768,0.9449726939201355,0.008112824521958828,0.14344049990177155,0.011225971393287182,0.006457749288529158,0.7895349264144897,0.19278134405612946,0.8037481904029846,0.36518046259880066,0.1962517946958542,0.2774403989315033,0.05333888158202171,0.5234572291374207,0.18690212070941925,0.4385676980018616,6.7826714515686035,0.9527016878128052,1.0984474420547485,train,tuned_FFNN,promoters,4
1,0.37127062678337097,0.801021158695221,0.05544651672244072,0.6438746452331543,0.8528702855110168,0.5328531265258789,0.10210074484348297,0.5237926840782166,0.9921388626098633,0.9445534944534302,0.007861141115427017,0.14595983922481537,0.01131301000714302,0.006257195957005024,0.789708137512207,0.1927216351032257,0.8038316369056702,0.3561253547668457,0.19616834819316864,0.2735377550125122,0.053796716034412384,0.5237926840782166,0.18894603848457336,0.44770628213882446,7.053150653839111,0.9520374536514282,1.0999256372451782,test,tuned_FFNN,promoters,4
0,0.3380843698978424,0.8247271776199341,0.43935954570770264,0.5954439640045166,0.8732252717018127,0.5674165487289429,0.5056302547454834,0.6814268827438354,0.9234941601753235,0.5606404542922974,0.07650582492351532,0.4089052379131317,0.0896325558423996,0.0608980767428875,0.7350946068763733,0.11437474936246872,0.8653573989868164,0.4045560359954834,0.1346425861120224,0.2944276034832001,0.3383568823337555,0.6814268827438354,0.5114821791648865,0.460801362991333,5.742817401885986,0.6070860028266907,2.1389963626861572,train,FFNN,promoters,4
