chrom,chromStart,chromEnd,strand,A549
chr10,100006381,100006637,.,True
chr10,100008146,100008402,.,False
chr10,100014418,100014674,.,False
chr10,100020216,100020472,.,False
chr10,100043528,100043784,.,False
chr10,100114224,100114480,.,False
chr10,100148644,100148900,.,False
chr10,100182338,100182594,.,False
chr10,100184461,100184717,.,False
chr10,100184905,100185161,.,False
chr10,100228889,100229145,.,False
chr10,100248017,100248273,.,False
chr10,100270368,100270624,.,False
chr10,100307745,100308001,.,False
chr10,100327042,100327298,.,False
chr10,100370649,100370905,.,False
chr10,100371069,100371325,.,True
chr10,100374990,100375246,.,False
chr10,10047611,10047867,.,False
chr10,100485437,100485693,.,False
chr10,100491191,100491447,.,False
chr10,100491681,100491937,.,False
chr10,100504117,100504373,.,False
chr10,100519109,100519365,.,False
chr10,100525264,100525520,.,False
chr10,100728935,100729191,.,True
chr10,100729522,100729778,.,False
chr10,100730976,100731232,.,False
chr10,100741349,100741605,.,False
chr10,100756041,100756297,.,False
chr10,100858585,100858841,.,False
chr10,100873876,100874132,.,False
chr10,100970156,100970412,.,True
chr10,100997529,100997785,.,True
chr10,101033053,101033309,.,False
chr10,101046762,101047018,.,False
chr10,101073009,101073265,.,False
chr10,101141345,101141601,.,False
chr10,101291612,101291868,.,True
chr10,101319352,101319608,.,False
chr10,101330909,101331165,.,False
chr10,101365084,101365340,.,False
chr10,101478739,101478995,.,False
chr10,101693701,101693957,.,False
chr10,101779572,101779828,.,False
chr10,101815370,101815626,.,False
chr10,101831621,101831877,.,False
chr10,101840640,101840896,.,False
chr10,10187100,10187356,.,False
chr10,101902519,101902775,.,False
chr10,101903890,101904146,.,False
chr10,101906845,101907101,.,False
chr10,101939356,101939612,.,True
chr10,101974157,101974413,.,False
chr10,102114052,102114308,.,False
chr10,102117832,102118088,.,False
chr10,102133438,102133694,.,True
chr10,102343034,102343290,.,False
chr10,102408127,102408383,.,False
chr10,102436383,102436639,.,False
chr10,102453617,102453873,.,False
chr10,102461789,102462045,.,False
chr10,102504549,102504805,.,False
chr10,102504910,102505166,.,False
chr10,102568992,102569248,.,False
chr10,102604387,102604643,.,False
chr10,102610534,102610790,.,False
chr10,102612968,102613224,.,False
chr10,102613449,102613705,.,False
chr10,102627790,102628046,.,False
