chrom,chromStart,chromEnd,strand,A549
chr1,628964,629220,+,False
chr1,629013,629269,+,False
chr1,629642,629898,+,False
chr1,629847,630103,+,False
chr1,629905,630161,+,True
chr1,630937,631193,+,False
chr1,631134,631390,+,False
chr1,631242,631498,+,False
chr1,631287,631543,+,False
chr1,633305,633561,+,False
chr1,633621,633877,+,False
chr1,633988,634244,+,False
chr1,826584,826840,+,False
chr1,827422,827678,+,False
chr1,827470,827726,+,False
chr1,831339,831595,+,False
chr1,923678,923934,+,True
chr1,923714,923970,+,False
chr1,923802,924058,+,False
chr1,923840,924096,+,False
chr1,925500,925756,+,False
chr1,938556,938812,+,False
chr1,938576,938832,+,True
chr1,939019,939275,+,False
chr1,941548,941804,+,True
chr1,941867,942123,+,True
chr1,941896,942152,+,False
chr1,941918,942174,+,False
chr1,942075,942331,+,True
chr1,960397,960653,+,True
chr1,966271,966527,+,True
chr1,1000700,1000956,+,False
chr1,1000759,1001015,+,False
chr1,1013249,1013505,+,True
chr1,1019470,1019726,+,False
chr1,1019872,1020128,+,True
chr1,1020050,1020306,+,False
chr1,1044924,1045180,+,False
chr1,1059463,1059719,+,False
chr1,1059489,1059745,+,True
chr1,1173632,1173888,+,False
chr1,1173646,1173902,+,False
chr1,1179416,1179672,+,False
chr1,1179443,1179699,+,False
chr1,1232032,1232288,+,True
chr1,1273788,1274044,+,True
chr1,1273810,1274066,+,False
chr1,1283749,1284005,+,False
chr1,1308397,1308653,+,True
chr1,1308448,1308704,+,False
chr1,1308471,1308727,+,False
chr1,1324606,1324862,+,True
chr1,1325010,1325266,+,False
chr1,1331033,1331289,+,False
chr1,1332853,1333109,+,False
chr1,1399276,1399532,+,False
chr1,1399336,1399592,+,True
chr1,1399560,1399816,+,False
chr1,1425608,1425864,+,False
chr1,1425662,1425918,+,False
chr1,1425713,1425969,+,False
chr1,1425797,1426053,+,False
chr1,1425839,1426095,+,False
chr1,1425853,1426109,+,False
chr1,1425861,1426117,+,False
chr1,1435483,1435739,+,True
chr1,1462226,1462482,+,False
chr1,1471534,1471790,+,False
chr1,1477594,1477850,+,False
chr1,1511920,1512176,+,True
chr1,1615291,1615547,+,True
chr1,1615684,1615940,+,True
chr1,1627332,1627588,+,False
chr1,1627414,1627670,+,False
chr1,1627801,1628057,+,False
chr1,1628712,1628968,+,False
chr1,1628745,1629001,+,False
chr1,1628781,1629037,+,False
chr1,1628950,1629206,+,False
chr1,1628973,1629229,+,False
chr1,1631440,1631696,+,False
chr1,1631750,1632006,+,False
chr1,1631857,1632113,+,False
chr1,1631885,1632141,+,False
chr1,1631909,1632165,+,False
chr1,1631939,1632195,+,False
chr1,1631953,1632209,+,False
chr1,1914836,1915092,+,False
chr1,1914921,1915177,+,False
chr1,1915010,1915266,+,False
chr1,1915040,1915296,+,False
chr1,1915067,1915323,+,False
chr1,1915128,1915384,+,False
chr1,1915419,1915675,+,False
chr1,2019053,2019309,+,False
chr1,2019120,2019376,+,False
chr1,2019158,2019414,+,False
chr1,2050192,2050448,+,True
chr1,2050250,2050506,+,True
chr1,2073427,2073683,+,False
chr1,2073458,2073714,+,False
chr1,2073499,2073755,+,False
chr1,2073510,2073766,+,False
chr1,2073516,2073772,+,False
chr1,2073553,2073809,+,False
chr1,2073634,2073890,+,False
chr1,2073842,2074098,+,False
chr1,2104467,2104723,+,False
chr1,2111414,2111670,+,False
chr1,2133471,2133727,+,False
chr1,2134674,2134930,+,False
chr1,2134704,2134960,+,False
chr1,2134945,2135201,+,False
chr1,2145103,2145359,+,False
chr1,2145135,2145391,+,False
chr1,2228094,2228350,+,False
chr1,2228928,2229184,+,False
chr1,2247714,2247970,+,False
chr1,2303006,2303262,+,False
chr1,2303049,2303305,+,False
chr1,2303408,2303664,+,False
chr1,2391612,2391868,+,True
chr1,2467233,2467489,+,False
chr1,2476045,2476301,+,False
chr1,2476078,2476334,+,False
chr1,2555553,2555809,+,False
chr1,2555592,2555848,+,False
chr1,2555600,2555856,+,False
chr1,2555635,2555891,+,False
chr1,2555721,2555977,+,False
chr1,2555864,2556120,+,False
chr1,2555878,2556134,+,False
chr1,2555904,2556160,+,False
chr1,2555951,2556207,+,False
chr1,2555979,2556235,+,False
chr1,2556150,2556406,+,False
chr1,2556181,2556437,+,False
chr1,2556248,2556504,+,False
chr1,2556338,2556594,+,False
chr1,2556347,2556603,+,False
chr1,2557284,2557540,+,False
chr1,2557298,2557554,+,False
chr1,2557323,2557579,+,False
chr1,2557351,2557607,+,False
